1454 0 s
1894 0 s
1885 110 s
1620 0 s
2051 50 s
1830 0 s
1720 0 s
1773 84 s
2179 0 s
2271 144 s
1899 122 s
1727 216 s
1106 0 s
2163 50 s
1669 40 s
1692 0 s
1810 0 s
2269 0 s
2209 116 s
1908 68 s
1669 0 s
1951 142 s
2178 0 s
2349 218 s
1258 0 s
1903 78 s
2127 231 s
2150 236 s
2458 417 s
1848 50 s
2190 307 s
1895 0 s
2010 70 s
2131 68 s
2574 467 s
2395 244 s
1810 0 s
2221 68 s
1887 0 s
1675 0 s
2682 442 s
2452 519 s
2334 174 s
2293 257 s
2246 132 s
2202 0 s
2175 0 s
2218 0 s
2583 251 s
2675 172 s
2131 32 s
2303 98 s
2759 484 s
2655 0 s
2313 0 s
2132 0 s
2438 148 s
2468 66 s
2464 0 s
2435 0 s
1960 0 s
2498 38 s
2185 0 s
2522 34 s
2247 0 s
2303 0 s
2853 363 s
2270 0 s
2601 46 s
2337 0 s
2298 0 s
2163 0 s
1940 56 s
2351 315 s
2570 156 s
2880 330 s
2967 146 s
3014 428 s
2041 0 s
2448 0 s
2438 48 s
2479 0 s
2471 54 s
2091 53 s
2595 0 s
2484 0 s
2684 52 s
3089 0 s
2197 0 s
2391 34 s
2943 0 s
2996 76 s
1528 0 s
2089 0 s
2368 90 s
2019 0 s
2980 182 s
3059 0 s
2417 0 s
2705 109 s
2762 120 s
2448 0 s
2500 0 s
2584 231 s
3002 323 s
2341 0 s
2234 0 s
2746 0 s
2192 0 s
2803 94 s
2501 92 s
2256 0 s
2647 109 s
2840 0 s
2501 0 s
2946 70 s
3406 0 s
2876 202 s
2890 40 s
3043 0 s
2785 306 s
2891 374 s
2478 136 s
3646 275 s
2722 124 s
2614 90 s
3152 295 s
3222 284 s
2380 0 s
3116 328 s
2778 0 s
3380 381 s
2290 76 s
2475 40 s
2223 58 s
2835 0 s
2524 0 s
3148 291 s
2853 50 s
3325 218 s
2574 48 s
2601 150 s
3647 594 s
2642 0 s
2443 0 s
2790 0 s
2716 0 s
3844 651 s
2832 0 s
3329 174 s
3033 0 s
3780 0 s
3195 94 s
2753 0 s
3134 36 s
3387 328 s
3748 58 s
2946 0 s
2971 60 s
3287 102 s
2710 96 s
3584 314 s
3454 222 s
3236 94 s
3145 72 s
2883 132 s
2829 46 s
3583 124 s
3207 403 s
3251 0 s
2712 119 s
2982 48 s
2984 0 s
3509 58 s
2490 36 s
3354 183 s
2450 92 s
2866 82 s
3226 0 s
2721 0 s
3685 0 s
2859 34 s
4351 727 s
3408 130 s
2035 0 s
3556 243 s
3781 519 s
2823 0 s
3088 0 s
3466 99 s
3639 0 s
3180 98 s
2653 120 s
3445 82 s
3825 474 s
4020 280 s
3077 60 s
3784 228 s
2691 0 s
3724 63 s
3865 251 s
3367 0 s
4182 515 s
4120 452 s
3451 0 s
2291 0 s
3266 0 s
3555 290 s
3508 0 s
3562 0 s
3620 0 s
3147 0 s
3498 0 s
4008 134 s
3690 150 s
3861 232 s
4365 321 s
3342 38 s
2577 0 s
3516 78 s
2423 0 s
4138 375 s
2874 0 s
3999 60 s
3861 56 s
3295 0 s
2487 0 s
4041 130 s
4175 369 s
4515 692 s
3343 0 s
3992 191 s
3737 0 s
3273 0 s
4016 0 s
3940 76 s
2973 0 s
4174 184 s
3112 52 s
4353 407 s
3647 178 s
4331 278 s
4288 293 s
4314 136 s
4137 160 s
3267 0 s
2639 0 s
3396 0 s
3349 98 s
4692 250 s
3469 156 s
3997 158 s
3795 62 s
4087 415 s
4311 226 s
3844 0 s
2972 0 s
4004 248 s
2961 0 s
3356 52 s
4558 82 s
4477 297 s
4048 173 s
2913 0 s
3853 48 s
4146 347 s
5263 902 s
3968 156 s
4416 367 s
4432 0 s
4556 353 s
3287 0 s
3644 56 s
4233 369 s
3455 0 s
4161 282 s
4227 34 s
5115 396 s
4499 226 s
4940 739 s
3026 0 s
3159 98 s
5271 630 s
3454 40 s
4966 559 s
4114 78 s
4090 0 s
4136 0 s
3711 38 s
4155 36 s
4317 114 s
4077 269 s
4911 106 s
4537 182 s
4031 54 s
3806 184 s
3616 42 s
3106 117 s
4756 268 s
4725 116 s
4360 310 s
4725 110 s
4801 490 s
4076 46 s
4326 70 s
3621 0 s
3756 78 s
3203 0 s
4120 0 s
4885 334 s
2452 0 s
5189 152 s
5350 716 s
2565 0 s
4275 0 s
3588 134 s
4208 34 s
3517 66 s
3827 106 s
4707 192 s
4899 394 s
4160 130 s
3646 0 s
3005 0 s
4731 298 s
3752 50 s
3526 110 s
3789 0 s
4871 106 s
4059 124 s
3904 110 s
5244 295 s
4113 40 s
3457 0 s
4397 0 s
3985 32 s
2821 0 s
4590 56 s
4935 399 s
3469 0 s
4659 252 s
3598 0 s
5109 497 s
5241 305 s
2211 0 s
4565 184 s
5955 1191 s
4178 60 s
4460 38 s
5066 114 s
4500 0 s
4823 96 s
4229 64 s
5316 362 s
5549 239 s
5350 427 s
4768 32 s
3497 110 s
4093 108 s
3769 0 s
3348 40 s
4651 267 s
5205 0 s
5546 530 s
4286 130 s
5439 240 s
4209 40 s
5421 530 s
5606 499 s
4634 178 s
4364 82 s
4903 278 s
4595 102 s
4614 68 s
4785 0 s
5130 582 s
4647 336 s
4217 0 s
3784 104 s
4683 230 s
3680 46 s
3562 0 s
5009 350 s
5391 368 s
3168 0 s
3545 0 s
4995 0 s
3667 102 s
4889 0 s
5030 256 s
6226 585 s
4816 50 s
3710 0 s
4126 0 s
4558 0 s
5760 346 s
4606 153 s
4609 0 s
4477 118 s
6237 879 s
5617 500 s
5601 595 s
